source,code,country,elevation_ft,frequency_1_frequency,frequency_1_service,frequency_2_frequency,frequency_2_service,frequency_3_frequency,frequency_3_service,latitude,longitude,magnetic_variation,name,state,time_zone,type
vfr,GLEN,Australia,,,,,,,,351704S,1490506E,,GLENLOCH INTERCHANGE,NSW,,
vfr,GMN,Australia,,,,,,,,271500S,1494100E,,GLENMORGAN,QLD,,
vfr,GLC,Australia,,,,,,,,315500S,1394700E,,GLENORCHY,SA,,
vfr,GRE,Australia,,,,,,,,300315S,1525840E,,GLENREAGH,NSW,,
vfr,GRK,Australia,,,,,,,,150700S,1450500E,,GLENROCK HS,QLD,,
vfr,GCR,Australia,,,,,,,,320015S,1515800E,,GLOUCESTER,NSW,,
vfr,GMH,Australia,,,,,,,,380030S,1451420E,,GMH,VIC,,
vfr,GOI,Australia,,,,,,,,204100S,1490900E,,GOLDSMITH ISLAND,QLD,,
vfr,GON,Australia,,,,,,,,273700S,1525315E,,GOODNA,QLD,,
vfr,GGV,Australia,,,,,,,,352515S,1491540E,,GOOGONG RESV,NSW,,
vfr,GMBG,Australia,,,,,,,,271830S,1515100E,,GOOMBUNGEE,QLD,,
vfr,GNN,Australia,,,,,,,,252600S,1520800E,,GOONANEMAN,QLD,,
vfr,GGO,Australia,,,,,,,,311835S,1505420E,,GOONOO GOONOO HS,NSW,,
vfr,GOV,Australia,,,,,,,,170520S,1454700E,,GORDONVALE,QLD,,
vfr,GOW,Australia,,,,,,,,273000S,1515310E,,GOWRIE JUNCTION,QLD,,
vfr,GRAA,Australia,,,,,,,,360640S,1471900E,,GRANYA,VIC,,
vfr,GVH,Australia,,,,,,,,411715S,1465820E,,GRAVELLY BEACH,TAS,,
vfr,GRHL,Australia,,,,,,,,315530S,1165730E,,GREEN HILLS,WA,,
vfr,GNIS,Australia,,,,,,,,164530S,1455830E,,GREEN ISLAND (CAIRNS),QLD,,
vfr,GRL,Australia,,,,,,,,205900S,1490900E,,GREEN ISLAND (MACKAY),QLD,,
vfr,GRNH,Australia,,,,,,,,170224S,1454818E,,GREENHILL,QLD,,
vfr,GNM,Australia,,,,,,,,274700S,1515700E,,GREENMOUNT,QLD,,
vfr,GRRV,Australia,,,,,,,,333652S,1504013E,,GROSE RIVER,NSW,,
vfr,GDG,Australia,,,,,,,,350340S,1480610E,,GUNDAGAI,NSW,,
vfr,GUP,Australia,,,,,,,,121100S,1305930E,,GUNN PT,NT,,
vfr,GUNN,Australia,,,,,,,,344654S,1491600E,,GUNNING,NSW,,
vfr,GUNG,Australia,,,,,,,,195600S,1475000E,,GUTHALUNGRA,QLD,,
vfr,HSP,Australia,,,,,,,,413030S,1470330E,,HADSPEN,TAS,,
vfr,HALL,Australia,,,,,,,,351006S,1490406E,,HALL,ACT,,
vfr,HMM,Australia,,,,,,,,103200S,1421300E,,HAMMOND ISLAND,QLD,,
vfr,HMN,Australia,,,,,,,,272130S,1520400E,,HAMPTON,QLD,,
vfr,HAVY,Australia,,,,,,,,264828S,1530759E,,HAPPY VALLEY,QLD,,
vfr,HBB,Australia,,,,,,,,335112S,1511230E,,HARBOUR BRIDGE,NSW,,
vfr,HAF,Australia,,,,,,,,345750S,1473100E,,HAREFIELD,NSW,,
vfr,HGTE,Australia,,,,,,,,345712S,1390106E,,HARROGATE,SA,,
vfr,HARV,Australia,,,,,,,,330500S,1155400E,,HARVEY,WA,,
vfr,HSTI,Australia,,,,,,,,281800S,1451100E,,HASTINGS,QLD,,
vfr,HASS,Australia,,,,,,,,282130S,1533448E,,HASTINGS PT,NSW,,
vfr,HATF,Australia,,,,,,,,334200S,1433900E,,HATFIELD,NSW,,
vfr,HVI,Australia,,,,,,,,185040S,1463220E,,HAVANNAH ISLAND,QLD,,
vfr,HPT,Australia,,,,,,,,211640S,1491730E,,HAY PT,QLD,,
vfr,HAZ,Australia,,,,,,,,201700S,1490500E,,HAZELWOOD ISLAND,QLD,,
vfr,HEAT,Australia,,,,,,,,365500S,1444200E,,HEATHCOTE TOWNSHIP,VIC,,
vfr,HRR,Australia,,,,,,,,320005S,1161336E,,HELENA RIVER RESV,WA,,
vfr,HNB,Australia,,,,,,,,341130S,1505830E,,HELENSBURGH,NSW,,
vfr,HED,Australia,,,,,,,,273300S,1520800E,,HELIDON,QLD,,
vfr,HNLY,Australia,,,,,,,,345511S,1382927E,,HENLEY JETTY,SA,,
vfr,HNTY,Australia,,,,,,,,353130S,1470200E,,HENTY,NSW,,
vfr,HKE,Australia,,,,,,,,315513S,1154850E,,HERDSMAN LAKE,WA,,
vfr,HXB,Australia,,,,,,,,324948S,1514124E,,HEXHAM BRIDGE,NSW,,
vfr,HIPA,Australia,,,,,,,,270858S,1535049E,,HIGH PERFORMANCE AREA 3,QLD,,
vfr,HVTG,Australia,,,,,,,,170051S,1454548E,,HIGH VOLTAGE,QLD,,
vfr,HIM,Australia,,,,,,,,203400S,1392900E,,HILTON MINE,QLD,,
vfr,HNCH,Australia,,,,,,,,182200S,1461500E,,HINCHINBROOK ISLAND,QLD,,
vfr,HDWL,Australia,,,,,,,,280300S,1531712E,,HINZE DAM WALL,QLD,,
vfr,HCTY,Australia,,,,,,,,425300S,1472000E,,HOBART CBD,TAS,,
vfr,HBKT,Australia,,,,,,,,354350S,1471930E,,HOLBROOK TOWNSHIP,NSW,,
vfr,HOLM,Australia,,,,,,,,163000S,1480000E,,HOLMES REEF,QLD,,
vfr,HBU,Australia,,,,,,,,211650S,1490300E,,HOMEBUSH,QLD,,
vfr,HDP,Australia,,,,,,,,342300S,1193400E,,HOOD PT,WA,,
vfr,HPI,Australia,,,,,,,,121940S,1310100E,,HOPE INLET,NT,,
vfr,HVR,Australia,,,,,,,,345100S,1384100E,,HOPE VALLEY RESV,SA,,
vfr,HORD,Australia,,,,,,,,203900S,1301900E,,HORDERN HILLS,NT,,
vfr,HZWF,Australia,,,,,,,,162300S,1235800E,,HORIZONTAL WATERFALLS,WA,,
vfr,HBVT,Australia,,,,,,,,271626S,1530421E,,HORNIBROOK VIADUCT,QLD,,
vfr,HSY,Australia,,,,,,,,334130S,1510624E,,HORNSBY,NSW,,
vfr,HST,Australia,,,,,,,,352520S,1492700E,,HOSKINSTOWN,NSW,,
vfr,HWG,Australia,,,,,,,,355835S,1463730E,,HOWLONG,NSW,,
vfr,HGR,Australia,,,,,,,,242100S,1332600E,,HUGH RIVER,NT,,
vfr,HWW,Australia,,,,,,,,360640S,1470130E,,HUME WEIR WALL,VIC,,
vfr,HYH,Australia,,,,,,,,414400S,1471500E,,HUMMOCKY HILLS,TAS,,
vfr,HRD,Australia,,,,,,,,290000S,1442400E,,HUNGERFORD,NSW,,
vfr,HYDN,Australia,,,,,,,,322700S,1185200E,,HYDEN,WA,,
vfr,IND,Australia,,,,,,,,204710S,1183530E,,INDEE HS,WA,,
vfr,IDNA,Australia,,,,,,,,232000S,1352600E,,INDIANA,NT,,
vfr,IDK,Australia,,,,,,,,265757S,1331930E,,INDULKANA TOWNSHIP,SA,,
vfr,INGL,Australia,,,,,,,,335818S,1505130E,,INGLEBURN,NSW,,
vfr,IPHL,Australia,,,,,,,,250700S,1330300E,,IPPIA HILL,NT,,
vfr,ISB,Australia,,,,,,,,333700S,1235300E,,ISRAELITE BAY,WA,,
vfr,JAC,Australia,,,,,,,,121548S,1310212E,,JACKO'S JUNCTION,NT,,
vfr,JNR,Australia,,,,,,,,113500S,1420000E,,JACKSON RIVER,QLD,,
vfr,JSL,Australia,,,,,,,,415630S,1471800E,,JACOB'S SUGARLOAF,TAS,,
vfr,JACW,Australia,,,,,,,,320200S,1171200E,,JACOB'S WELL,WA,,
vfr,JMPP,Australia,,,,,,,,172906S,1220837E,,JAMES PRICE POINT,WA,,
vfr,JADL,Australia,,,,,,,,322024S,1160430E,,JARRAHDALE,WA,,
vfr,JCK,Australia,,,,,,,,234712S,1333000E,,JAY CREEK,NT,,
vfr,JEA,Australia,,,,,,,,144400S,1445200E,,JEANNIE RIVER,QLD,,
vfr,JES,Australia,,,,,,,,234455S,1340105E,,JESSIE GAP,NT,,
vfr,JIBN,Australia,,,,,,,,340506S,1511012E,,JIBBON PT,NSW,,
vfr,JIA,Australia,,,,,,,,355730S,1465315E,,JINDERA,NSW,,
vfr,JDN,Australia,,,,,,,,272200S,1513515E,,JONDARYAN,QLD,,
vfr,JGK,Australia,,,,,,,,220000S,1444200E,,JUG CREEK,QLD,,
vfr,JPP,Australia,,,,,,,,274400S,1532700E,,JUMPINPIN,QLD,,
vfr,JNEE,Australia,,,,,,,,345200S,1473500E,,JUNEE,NSW,,
vfr,JUP,Australia,,,,,,,,280157S,1532546E,,JUPITERS CASINO,QLD,,
